vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,authorized_from,authorized_to,source_code
CCSBT-FV04893|IMO-9833474|IOTC-2416,525600295,BANDARNELAYAN12,YE5616,9833474,IDN,2021-12-15 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04894|IDN-19466|IOTC-3767,525800605,BANDARNELAYAN18,YE5617,,IDN,,,IOTC
CCSBT-FV04895|IDN-19459|IMO-8527951|IOTC-3768,525800753,BANDARNELAYAN21,YE5652,8527951,IDN,2012-01-01 00:00:00 UTC,2018-10-13 00:00:00 UTC,CCSBT
CCSBT-FV04895|IDN-19459|IMO-8527951|IOTC-3768,525800753,BANDARNELAYAN21,YE5652,8527951,IDN,2019-06-24 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04895|IDN-19459|IMO-8527951|IOTC-3768,525800753,BANDARNELAYAN21,YE5652,8527951,IDN,2012-01-01 00:00:00 UTC,2018-12-09 00:00:00 UTC,IOTC
CCSBT-FV04895|IDN-19459|IMO-8527951|IOTC-3768,525800753,BANDARNELAYAN21,YE5652,8527951,IDN,2019-06-24 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04897|IDN-19429|IMO-8526983|IOTC-2389,525600294,BANDARNELAYAN123,YEA5349,8526983,IDN,2012-11-25 00:00:00 UTC,2018-11-24 00:00:00 UTC,CCSBT
CCSBT-FV04897|IDN-19429|IMO-8526983|IOTC-2389,525600294,BANDARNELAYAN123,YEA5349,8526983,IDN,2019-08-15 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04897|IDN-19429|IMO-8526983|IOTC-2389,525600294,BANDARNELAYAN123,YEA5349,8526983,IDN,2012-01-01 00:00:00 UTC,2018-11-24 00:00:00 UTC,IOTC
CCSBT-FV04897|IDN-19429|IMO-8526983|IOTC-2389,525600294,BANDARNELAYAN123,YEA5349,8526983,IDN,2020-06-05 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04898|IDN-19427|IMO-8526701|IOTC-2393,525600497,BANDARNELAYAN138,YEA5397,8526701,IDN,2012-11-25 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04898|IDN-19427|IMO-8526701|IOTC-2393,525600497,BANDARNELAYAN138,YEA5397,8526701,IDN,2012-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04899|IDN-19426|IMO-8528280|IOTC-2415,525800091,BANDARNELAYAN11,YE5615,8528280,IDN,2012-01-01 00:00:00 UTC,2018-12-09 00:00:00 UTC,CCSBT
CCSBT-FV04899|IDN-19426|IMO-8528280|IOTC-2415,525800091,BANDARNELAYAN11,YE5615,8528280,IDN,2019-04-29 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04899|IDN-19426|IMO-8528280|IOTC-2415,525800091,BANDARNELAYAN11,YE5615,8528280,IDN,2012-01-01 00:00:00 UTC,2018-12-09 00:00:00 UTC,IOTC
CCSBT-FV04899|IDN-19426|IMO-8528280|IOTC-2415,525800091,BANDARNELAYAN11,YE5615,8528280,IDN,2019-04-29 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04905|IDN-8918|IMO-8528345|IOTC-2432,525900312,BINTANGKASIHUTAMA,YE5978,8528345,IDN,2012-01-01 00:00:00 UTC,2015-06-06 00:00:00 UTC,CCSBT
CCSBT-FV04905|IDN-8918|IMO-8528345|IOTC-2432,525900312,BINTANGKASIHUTAMA,YE5978,8528345,IDN,2017-10-16 00:00:00 UTC,2018-09-23 00:00:00 UTC,CCSBT
CCSBT-FV04905|IDN-8918|IMO-8528345|IOTC-2432,525900312,BINTANGKASIHUTAMA,YE5978,8528345,IDN,2019-07-04 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04905|IDN-8918|IMO-8528345|IOTC-2432,525900312,BINTANGKASIHUTAMA,YE5978,8528345,IDN,2012-01-01 00:00:00 UTC,2015-06-07 00:00:00 UTC,IOTC
CCSBT-FV04905|IDN-8918|IMO-8528345|IOTC-2432,525900312,BINTANGKASIHUTAMA,YE5978,8528345,IDN,2016-09-24 00:00:00 UTC,2018-09-23 00:00:00 UTC,IOTC
CCSBT-FV04905|IDN-8918|IMO-8528345|IOTC-2432,525900312,BINTANGKASIHUTAMA,YE5978,8528345,IDN,2019-07-04 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04907|IDN-15754|IMO-8561622|IOTC-2443,525700988,BINTANGMUTIARA,YEA4097,8561622,IDN,2012-07-25 00:00:00 UTC,2014-07-24 00:00:00 UTC,CCSBT
CCSBT-FV04907|IDN-15754|IMO-8561622|IOTC-2443,525700988,BINTANGMUTIARA,YEA4097,8561622,IDN,2012-01-01 00:00:00 UTC,2014-07-25 00:00:00 UTC,IOTC
CCSBT-FV04920|IOTC-4747,525101884,BINTANGTIMUR,YEA5941,,IDN,2012-01-01 00:00:00 UTC,2012-08-18 00:00:00 UTC,IOTC
CCSBT-FV04920|IOTC-4747,525101884,BINTANGTIMUR,YEA5941,,IDN,2014-08-01 00:00:00 UTC,2015-08-01 00:00:00 UTC,IOTC
CCSBT-FV04927|IDN-21511|IMO-8546335|IOTC-761,525700554,CAHAYASETIA,YEA5479,8546335,IDN,2014-07-17 00:00:00 UTC,2018-06-20 00:00:00 UTC,IOTC
CCSBT-FV04928|IDN-92261|IMO-8784236|IOTC-4356,525101486,CHANDRAJAYA,YEA4567,8784236,IDN,2012-01-19 00:00:00 UTC,2015-02-11 00:00:00 UTC,IOTC
CCSBT-FV04928|IDN-92261|IMO-8784236|IOTC-4356,525101486,CHANDRAJAYA,YEA4567,8784236,IDN,2017-02-24 00:00:00 UTC,2019-03-25 00:00:00 UTC,IOTC
CCSBT-FV04928|IDN-92261|IMO-8784236|IOTC-4356,525101486,CHANDRAJAYA,YEA4567,8784236,IDN,2020-02-14 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04931|IDN-7303|IMO-8526414|IOTC-2494,525700795,CHIUSHIH2,YEA5342,8526414,IDN,2012-01-01 00:00:00 UTC,2016-10-06 00:00:00 UTC,CCSBT
CCSBT-FV04931|IDN-7303|IMO-8526414|IOTC-2494,525700795,CHIUSHIH2,YEA5342,8526414,IDN,2018-03-08 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04931|IDN-7303|IMO-8526414|IOTC-2494,525700795,CHIUSHIH2,YEA5342,8526414,IDN,2012-01-01 00:00:00 UTC,2016-10-07 00:00:00 UTC,IOTC
CCSBT-FV04931|IDN-7303|IMO-8526414|IOTC-2494,525700795,CHIUSHIH2,YEA5342,8526414,IDN,2018-03-08 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04933|IDN-9050|IMO-8526268|IOTC-3824,525700808,CHIUSHIH5,YEA5338,8526268,IDN,2012-01-01 00:00:00 UTC,2017-05-28 00:00:00 UTC,CCSBT
CCSBT-FV04933|IDN-9050|IMO-8526268|IOTC-3824,525700808,CHIUSHIH5,YEA5338,8526268,IDN,2018-03-28 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04933|IDN-9050|IMO-8526268|IOTC-3824,525700808,CHIUSHIH5,YEA5338,8526268,IDN,2012-01-01 00:00:00 UTC,2017-05-28 00:00:00 UTC,IOTC
CCSBT-FV04933|IDN-9050|IMO-8526268|IOTC-3824,525700808,CHIUSHIH5,YEA5338,8526268,IDN,2018-03-28 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04935|IMO-8527004|IOTC-2511,525101248,CITRAMAJU82,YEA4375,8527004,IDN,2012-01-01 00:00:00 UTC,2015-05-29 00:00:00 UTC,CCSBT
CCSBT-FV04935|IMO-8527004|IOTC-2511,525101248,CITRAMAJU82,YEA4375,8527004,IDN,2016-05-12 00:00:00 UTC,2018-04-26 00:00:00 UTC,CCSBT
CCSBT-FV04935|IMO-8527004|IOTC-2511,525101248,CITRAMAJU82,YEA4375,8527004,IDN,2012-01-01 00:00:00 UTC,2018-04-26 00:00:00 UTC,IOTC
CCSBT-FV04941|IDN-1209|IMO-8572475|IOTC-2532,525700010,DWISUKSESBAHARI,YEA4428,8572475,IDN,2012-01-01 00:00:00 UTC,2013-11-26 00:00:00 UTC,CCSBT
CCSBT-FV04941|IDN-1209|IMO-8572475|IOTC-2532,525700010,DWISUKSESBAHARI,YEA4428,8572475,IDN,2012-01-01 00:00:00 UTC,2013-11-27 00:00:00 UTC,IOTC
CCSBT-FV04941|IDN-1209|IMO-8572475|IOTC-2532,525700010,DWISUKSESBAHARI,YEA4428,8572475,IDN,2020-04-15 00:00:00 UTC,2021-04-14 00:00:00 UTC,IOTC
CCSBT-FV04943|IDN-86817|IMO-8548058|IOTC-2533,525800532,DWISUKSESBUANA,YEA5908,8548058,IDN,2012-01-01 00:00:00 UTC,2012-10-08 00:00:00 UTC,CCSBT
CCSBT-FV04944|IDN-8969|IMO-8562626|IOTC-2535,525700834,DWISUKSESFORTUNA,YEA5531,8562626,IDN,2012-01-01 00:00:00 UTC,2012-12-14 00:00:00 UTC,CCSBT
CCSBT-FV04944|IDN-8969|IMO-8562626|IOTC-2535,525700834,DWISUKSESFORTUNA,YEA5531,8562626,IDN,2012-01-01 00:00:00 UTC,2013-12-15 00:00:00 UTC,IOTC
CCSBT-FV04945|IMO-8572487|IOTC-2536,525004429,DWISUKSESGEMILANG,YEA4429,8572487,IDN,2012-01-01 00:00:00 UTC,2013-11-12 00:00:00 UTC,CCSBT
